participant_id,avg_daily_sm_hours,avg_daily_screen_time_hours,avg_work_study_hours_per_day,years_on_social_media,attention_span_minutes,deep_work_duration_minutes,reading_duration_minutes_per_day,tasks_completed_per_day,avg_sleep_hours,withdrawal_attempt_count,longest_detox_days,productivity_self_rating,dopamine_rush_feel_score,fomo_score,comparison_to_others_score,validation_seeking_score,decision_fatigue_score,anxiety_when_phone_unavailable,restlessness_score,dopamine_dysregulation_index,digital_wellbeing_score,sm_addiction_risk_score
P0218,1.0,4.0,0.0,6,60,140,70,9,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0219,2.0,5.5,8.5,9,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0220,1.0,4.0,0.0,8,60,140,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0221,2.0,5.5,8.5,9,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0222,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0223,1.5,5.0,9.5,12,52,125,62,8,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0224,1.0,4.0,0.0,5,60,140,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0225,2.0,5.5,8.5,9,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0226,1.0,4.0,0.0,5,60,140,70,9,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0227,2.0,5.5,8.5,8,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0228,1.0,4.0,0.0,8,62,142,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0229,2.5,6.0,8.0,9,46,112,54,8,8.0,2,8,9,2,2,2,1,2,2,2,1.8,2.4,8.8
P0230,1.5,4.0,0.0,8,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0231,2.0,5.5,9.5,12,50,122,58,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0232,0.5,3.0,0.0,4,65,150,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.5,1.0,9.9
P0233,2.0,5.5,8.0,9,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0234,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0235,1.5,5.0,9.0,12,52,125,60,8,8.5,1,9,9,2,2,2,1,1,1,1,1.2,1.8,9.5
P0236,1.0,4.0,0.0,6,60,140,70,9,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0237,2.5,6.0,8.0,9,46,112,54,8,8.0,2,8,9,2,2,2,1,2,2,2,1.8,2.4,8.8
P0238,2.0,5.5,9.0,10,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0239,1.0,4.0,0.0,5,60,140,70,9,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0240,1.5,5.0,9.5,12,52,125,62,8,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0241,6.5,10.5,8.5,12,15,30,15,4,6.0,8,4,4,8,7,5,6,7,8,7,7.5,8.0,3.2
P0242,7.0,11.0,8.5,10,10,20,10,3,6.0,9,3,4,9,8,8,8,8,9,8,8.8,9.2,2.2
P0243,6.0,10.0,7.5,8,14,30,16,4,6.5,7,3,4,7,6,6,6,6,7,7,7.2,7.8,3.4
P0244,7.5,11.5,0.0,7,8,18,9,3,5.5,10,2,3,9,8,8,9,8,9,9,9.2,9.5,2.0
P0245,8.0,12.0,6.0,5,7,14,8,2,5.0,10,1,3,10,9,7,8,9,10,8,9.5,9.8,1.5
P0246,5.5,9.5,7.5,10,16,38,22,5,7.0,5,4,5,6,6,6,5,5,5,5,5.8,6.4,4.6
P0247,4.5,8.5,8.5,7,20,50,26,5,7.5,4,5,5,5,5,4,4,4,4,4,5.0,5.6,5.1
P0248,9.0,13.0,5.5,4,5,10,5,2,4.5,10,1,2,10,10,9,10,10,10,10,9.8,10.0,1.2
P0249,8.5,12.5,5.5,6,6,12,6,2,5.0,10,1,2,10,9,8,8,9,10,9,9.6,9.9,1.4
P0250,3.5,7.5,8.5,8,24,60,35,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0251,9.0,13.0,6.0,5,5,10,5,2,4.5,10,1,2,10,10,10,10,10,10,10,9.9,10.0,1.1
P0252,6.5,10.5,8.5,9,15,35,20,4,6.5,7,4,5,7,6,5,5,5,7,6,6.2,6.8,4.2
P0253,5.5,9.5,6.0,6,14,32,16,4,7.0,7,3,4,7,6,6,6,6,7,7,7.2,7.7,3.5
P0254,6.0,10.0,6.5,10,15,35,20,4,6.5,7,4,5,7,6,5,6,5,7,6,6.5,7.0,3.9
P0255,8.0,12.0,5.5,5,8,17,9,3,5.5,9,2,3,9,8,8,9,8,9,9,9.3,9.6,1.9
P0256,4.5,8.5,8.5,9,20,48,26,5,7.0,5,4,5,5,5,5,4,5,5,5,5.2,5.8,5.0
P0257,7.0,11.0,6.0,5,9,20,11,3,5.5,9,2,4,9,7,6,7,7,8,8,8.8,9.0,2.4
P0258,3.5,7.5,9.0,9,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0259,7.5,11.5,6.0,4,8,17,9,3,5.5,10,2,3,9,8,9,9,8,9,9,9.4,9.6,1.9
P0260,5.5,9.5,7.5,6,15,35,20,4,7.0,6,4,5,7,6,5,5,5,6,5,5.8,6.4,4.6
P0261,8.5,12.5,5.5,5,6,12,7,2,5.0,10,1,2,10,9,9,9,9,10,9,9.6,9.8,1.4
P0262,4.0,8.0,7.5,10,22,55,28,5,7.5,4,5,5,5,5,4,4,4,4,4,4.8,5.4,5.4
P0263,8.0,12.0,5.5,4,8,16,8,2,5.5,9,1,3,9,8,7,7,8,9,8,9.2,9.5,2.1
P0264,4.0,8.0,8.5,10,22,55,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0265,6.5,10.5,0.0,6,10,22,12,4,6.0,8,3,4,8,7,7,7,7,8,8,7.8,8.2,2.9
P0266,6.0,10.0,5.5,7,11,24,13,3,6.5,8,2,4,8,7,7,7,7,8,8,7.8,8.2,2.9
P0267,7.0,11.0,6.0,4,9,19,10,3,5.5,9,2,3,9,8,7,7,7,9,8,9.0,9.3,2.2
P0268,5.0,9.0,8.5,12,18,42,22,5,6.5,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0269,5.5,9.5,8.5,6,15,35,20,4,7.0,6,4,5,7,6,6,5,5,6,5,5.8,6.4,4.6
P0270,4.5,8.5,9.0,11,20,48,26,5,7.5,4,5,5,5,5,4,4,4,4,4,5.2,5.8,5.0
P0271,7.5,11.5,6.0,5,8,17,9,3,5.5,9,2,3,9,8,8,9,8,9,9,9.2,9.5,2.0
P0272,3.5,7.5,9.0,10,24,60,35,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0273,5.0,9.0,7.0,7,16,38,20,5,7.0,5,4,5,6,6,6,5,5,5,5,5.8,6.4,4.6
P0274,6.5,10.5,6.0,4,10,22,12,3,6.0,8,2,4,8,7,6,6,7,8,7,7.8,8.2,2.9
P0275,5.0,9.0,8.5,8,16,38,20,4,7.0,6,4,5,6,6,6,5,5,6,5,5.8,6.4,4.6
P0276,4.5,8.5,8.5,10,20,50,26,5,7.5,4,5,5,5,5,5,4,4,4,4,5.0,5.6,5.1
P0277,6.0,10.0,6.5,4,14,32,18,4,6.5,6,3,5,7,6,5,5,5,6,5,6.2,6.8,4.2
P0278,3.5,7.5,8.5,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0279,5.5,9.5,8.0,6,15,35,20,4,7.0,6,4,5,7,6,5,5,5,6,5,5.8,6.4,4.6
P0280,8.5,12.5,6.0,4,6,13,7,2,5.0,10,1,2,10,9,9,9,9,10,9,9.6,9.9,1.4
P0281,2.5,6.5,9.5,13,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0282,5.0,9.0,7.5,7,16,38,20,4,7.0,6,4,5,6,6,5,5,5,6,5,5.8,6.4,4.6
P0283,7.0,11.0,6.0,5,12,25,14,4,6.0,8,3,4,8,7,5,6,7,8,7,7.5,8.0,3.2
P0284,7.5,11.5,6.0,4,8,17,9,3,5.5,9,2,3,9,8,8,8,8,9,8,9.0,9.3,2.2
P0285,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0286,5.0,9.0,8.0,6,18,44,22,5,7.0,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0287,5.5,9.5,7.5,8,15,35,20,4,7.0,6,4,5,7,6,6,5,5,6,5,5.8,6.4,4.6
P0288,7.0,11.0,6.0,3,9,18,10,3,5.5,9,2,3,9,8,7,7,8,9,8,9.0,9.3,2.2
P0289,5.5,9.5,8.5,8,16,38,22,5,7.0,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0290,6.5,10.5,6.0,4,10,22,12,3,6.0,8,2,4,8,7,6,7,7,8,8,7.9,8.3,2.8
P0291,2.0,5.5,9.0,11,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0292,7.5,11.5,6.0,4,8,17,9,3,5.5,10,2,3,9,8,9,9,8,9,9,9.4,9.6,1.8
P0293,3.0,7.0,9.5,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0294,9.0,13.0,5.5,5,5,10,5,2,4.5,10,1,2,10,10,10,10,10,10,10,9.9,10.0,1.1
P0295,5.5,9.5,7.0,10,15,35,20,4,6.5,7,4,5,7,5,5,5,5,7,6,6.2,6.8,4.2
P0296,6.5,10.5,0.0,6,11,24,12,3,6.0,9,3,3,8,7,7,7,7,8,8,7.8,8.2,2.9
P0297,4.0,8.0,8.5,8,22,55,28,5,7.5,4,5,5,5,5,4,4,4,4,4,4.8,5.4,5.4
P0298,8.0,12.0,6.0,4,8,17,9,3,5.5,9,2,3,9,8,8,9,8,9,9,9.2,9.5,2.0
P0299,3.5,7.5,8.5,10,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0300,7.5,11.5,6.0,5,8,18,10,3,5.5,9,2,3,9,8,7,8,8,9,8,9.0,9.4,2.1
